name,side
Bellatrix Lestrange,0
Dolores Umbridge,0
Lord Voldemort,0
Barty Crouch Jr.,0
Peter Pettigrew,0
Quirinus Quirrell,0
Draco Malfoy,0
Lucius Malfoy,0
Severus Snape,0
Fenrir Greyback,0
Gellert Grindelwald,0
Nagini,0
Gilderoy Lockhart,0
Aragog,0
Narcissa Malfoy,0
Vincent Crabbe,0
Gregory Goyle,0
Credence Barebone,0
Morfin Gaunt,0
The Serpent of Slytherin,0
Harry Potter,1
Hermione Granger,1
Professor Albus Dumbledore,1
Ron Weasley,1
Luna Lovegood,1
Rubeus Hagrid,1
Dobby,1
Sirius Black,1
Cedric Diggory,1
Neville Longbottom,1
Minerva McGonagall,1
Remus Lupin,1
Ginny Weasley,1
Molly Weasley,1
Nymphadora Tonks,1
Alastor Moody,1
Cho Chang,1
Fleur Delacour,1
George Weasley,1
Lee Jordan,1
Nearly Headless Nick,1
Percy Weasley,1
